iter	Passed	Remaining
0	118	118760
1	119	59650
2	119	39864
3	120	29967
4	120	24037
5	121	20074
6	121	17243
7	122	15137
8	122	13520
9	123	12225
10	123	11141
11	124	10255
12	125	9507
13	125	8862
14	126	8302
15	127	7810
16	127	7372
17	128	6994
18	128	6651
19	129	6340
20	129	6057
21	130	5795
22	131	5565
23	131	5350
24	132	5149
25	132	4965
26	133	4793
27	133	4631
28	133	4485
29	134	4354
30	135	4230
31	135	4109
32	136	3996
33	136	3888
34	137	3787
35	137	3693
36	138	3603
37	139	3519
38	139	3437
39	140	3361
40	140	3291
41	141	3221
42	141	3154
43	142	3093
44	142	3031
45	143	2973
46	143	2917
47	144	2863
48	144	2810
49	145	2759
50	145	2711
51	146	2667
52	146	2623
53	147	2580
54	147	2540
55	148	2500
56	148	2463
57	149	2425
58	149	2389
59	150	2355
60	150	2321
61	151	2287
62	151	2256
63	152	2227
64	152	2200
65	153	2172
66	154	2145
67	154	2119
68	155	2094
69	155	2068
70	156	2043
71	156	2018
72	157	1995
73	157	1973
74	158	1949
75	158	1928
76	159	1908
77	159	1890
78	160	1871
79	161	1851
80	161	1832
81	162	1814
82	162	1793
83	162	1776
84	163	1758
85	163	1740
86	164	1723
87	164	1707
88	165	1692
89	165	1676
90	166	1661
91	166	1646
92	167	1631
93	167	1618
94	168	1604
95	168	1591
96	169	1578
97	170	1565
98	170	1553
99	171	1540
100	171	1527
101	172	1515
102	172	1504
103	173	1492
104	173	1480
105	174	1469
106	174	1458
107	175	1447
108	175	1436
109	176	1426
110	176	1415
111	177	1405
112	177	1395
113	178	1385
114	178	1376
115	179	1367
116	179	1358
117	180	1348
118	180	1338
119	181	1329
120	181	1320
121	182	1312
122	182	1304
123	183	1296
124	184	1288
125	184	1280
126	185	1272
127	185	1264
128	186	1256
129	186	1249
130	187	1242
131	187	1234
132	188	1227
133	188	1220
134	189	1213
135	189	1206
136	190	1198
137	190	1191
138	191	1185
139	191	1179
140	192	1172
141	192	1164
142	193	1158
143	193	1152
144	194	1145
145	194	1139
146	195	1133
147	195	1126
148	196	1120
149	196	1113
150	197	1107
151	197	1103
152	198	1097
153	198	1092
154	199	1087
155	200	1082
156	200	1076
157	201	1071
158	201	1065
159	202	1060
160	202	1054
161	202	1049
162	203	1044
163	204	1040
164	204	1035
165	205	1031
166	205	1026
167	206	1022
168	206	1017
169	207	1012
170	207	1008
171	208	1003
172	208	998
173	209	994
174	210	990
175	210	986
176	211	981
177	211	977
178	212	973
179	212	969
180	213	965
181	213	960
182	214	956
183	214	952
184	215	948
185	215	943
186	216	939
187	216	936
188	217	932
189	217	928
190	218	924
191	218	920
192	219	917
193	219	913
194	220	909
195	220	905
196	221	901
197	221	897
198	222	893
199	222	890
200	223	887
201	223	883
202	224	879
203	224	876
204	225	873
205	225	869
206	226	866
207	226	862
208	227	859
209	227	856
210	228	852
211	228	849
212	229	846
213	229	843
214	230	840
215	230	837
216	231	834
217	231	830
218	231	827
219	232	824
220	232	821
221	233	818
222	233	814
223	234	811
224	234	808
225	235	806
226	236	803
227	236	800
228	236	797
229	237	794
230	237	791
231	238	789
232	238	786
233	239	783
234	239	780
235	240	777
236	240	774
237	241	772
238	241	769
239	242	766
240	242	764
241	243	761
242	243	758
243	244	756
244	244	753
245	245	751
246	245	748
247	245	745
248	246	743
249	246	740
250	247	737
251	247	735
252	248	733
253	248	730
254	249	728
255	249	725
256	250	722
257	250	720
258	250	718
259	251	715
260	251	713
261	252	711
262	252	708
263	253	706
264	253	703
265	254	701
266	254	699
267	255	697
268	255	694
269	256	692
270	256	690
271	257	687
272	257	685
273	257	683
274	258	681
275	258	678
276	259	676
277	259	674
278	260	672
279	260	670
280	261	668
281	261	665
282	261	663
283	262	661
284	262	659
285	263	657
286	263	655
287	264	653
288	264	651
289	265	649
290	265	646
291	265	644
292	266	642
293	266	641
294	267	639
295	268	637
296	268	635
297	268	633
298	269	631
299	269	629
300	270	627
301	270	625
302	271	623
303	271	621
304	271	619
305	272	617
306	272	616
307	273	614
308	274	613
309	274	611
310	275	609
311	275	607
312	275	605
313	276	603
314	276	601
315	277	600
316	277	598
317	278	596
318	278	594
319	279	592
320	279	591
321	280	589
322	280	588
323	281	586
324	281	584
325	282	583
326	282	581
327	282	579
328	283	578
329	283	576
330	284	574
331	284	572
332	285	571
333	285	569
334	286	568
335	286	566
336	287	564
337	287	563
338	287	561
339	288	559
340	288	558
341	289	556
342	289	555
343	290	553
344	290	551
345	291	550
346	291	548
347	292	547
348	292	546
349	293	544
350	293	543
351	294	541
352	294	540
353	295	539
354	295	537
355	296	536
356	297	534
357	297	533
358	298	532
359	298	530
360	299	529
361	299	528
362	300	526
363	300	525
364	301	523
365	301	522
366	302	521
367	302	519
368	303	518
369	303	516
370	304	515
371	304	514
372	305	512
373	305	511
374	306	510
375	306	509
376	307	508
377	307	506
378	308	505
379	308	503
380	309	502
381	309	500
382	309	499
383	310	498
384	310	496
385	311	495
386	311	494
387	312	492
388	312	491
389	313	490
390	313	488
391	314	487
392	314	486
393	315	484
394	315	483
395	316	482
396	316	480
397	317	479
398	317	478
399	318	477
400	318	475
401	319	474
402	319	473
403	319	471
404	320	470
405	320	469
406	321	468
407	321	466
408	322	465
409	322	464
410	323	462
411	323	461
412	324	460
413	324	459
414	325	458
415	325	456
416	325	455
417	326	454
418	326	453
419	327	451
420	327	450
421	328	449
422	328	448
423	328	446
424	329	445
425	329	444
426	330	443
427	330	442
428	331	441
429	331	439
430	332	438
431	332	437
432	333	436
433	333	435
434	334	434
435	334	432
436	335	431
437	335	430
438	335	429
439	336	428
440	337	427
441	337	426
442	337	424
443	338	423
444	338	422
445	339	421
446	339	420
447	340	419
448	340	418
449	341	416
450	341	415
451	341	414
452	342	413
453	342	412
454	343	411
455	344	410
456	344	409
457	344	408
458	345	407
459	345	406
460	346	404
461	346	403
462	347	402
463	347	401
464	348	400
465	348	399
466	348	398
467	349	397
468	349	396
469	350	395
470	350	394
471	351	392
472	351	391
473	352	390
474	352	389
475	353	388
476	353	387
477	353	386
478	354	385
479	354	384
480	355	383
481	355	382
482	356	381
483	356	380
484	357	379
485	357	378
486	358	377
487	358	376
488	359	375
489	359	374
490	359	373
491	360	372
492	360	370
493	361	369
494	361	369
495	362	368
496	362	367
497	363	366
498	363	365
499	364	364
500	364	363
501	365	362
502	365	361
503	366	360
504	366	359
505	366	358
506	367	357
507	367	356
508	368	355
509	368	354
510	369	353
511	369	352
512	370	351
513	370	350
514	371	349
515	371	348
516	371	347
517	372	346
518	372	345
519	373	344
520	373	343
521	374	342
522	374	341
523	375	340
524	375	339
525	376	338
526	376	337
527	377	337
528	377	336
529	377	335
530	378	334
531	378	333
532	379	332
533	379	331
534	380	330
535	380	329
536	381	328
537	381	327
538	382	326
539	382	325
540	382	324
541	383	323
542	383	322
543	384	322
544	384	321
545	385	320
546	385	319
547	385	318
548	386	317
549	386	316
550	387	315
551	387	314
552	388	313
553	388	313
554	389	312
555	389	311
556	390	310
557	390	309
558	391	308
559	391	307
560	392	306
561	392	305
562	393	305
563	393	304
564	394	303
565	394	302
566	395	301
567	395	300
568	396	299
569	396	299
570	396	298
571	397	297
572	397	296
573	398	295
574	398	294
575	399	293
576	399	292
577	400	292
578	400	291
579	401	290
580	401	289
581	402	288
582	402	288
583	403	287
584	403	286
585	404	285
586	404	284
587	405	283
588	405	282
589	405	282
590	406	281
591	406	280
592	407	279
593	407	278
594	408	277
595	408	277
596	409	276
597	409	275
598	410	274
599	410	273
600	410	272
601	411	271
602	411	271
603	412	270
604	412	269
605	413	268
606	413	267
607	414	267
608	414	266
609	415	265
610	415	264
611	415	263
612	416	262
613	416	262
614	417	261
615	417	260
616	418	259
617	418	258
618	419	257
619	419	257
620	420	256
621	420	255
622	421	254
623	421	254
624	422	253
625	422	252
626	423	251
627	423	250
628	423	250
629	424	249
630	424	248
631	425	247
632	425	246
633	426	246
634	426	245
635	427	244
636	427	243
637	428	242
638	428	242
639	429	241
640	429	240
641	430	239
642	430	239
643	431	238
644	431	237
645	432	236
646	432	236
647	433	235
648	434	234
649	434	233
650	435	233
651	435	232
652	435	231
653	436	230
654	436	230
655	437	229
656	437	228
657	438	227
658	438	226
659	439	226
660	439	225
661	440	224
662	440	223
663	440	223
664	441	222
665	441	221
666	442	220
667	442	220
668	443	219
669	443	218
670	444	217
671	444	216
672	444	216
673	445	215
674	445	214
675	446	213
676	446	213
677	447	212
678	447	211
679	448	210
680	448	210
681	448	209
682	449	208
683	449	207
684	450	207
685	450	206
686	451	205
687	451	204
688	451	204
689	452	203
690	452	202
691	453	201
692	453	201
693	454	200
694	454	199
695	455	198
696	455	198
697	455	197
698	456	196
699	456	195
700	457	195
701	457	194
702	458	193
703	458	192
704	459	192
705	459	191
706	460	190
707	460	189
708	460	189
709	461	188
710	461	187
711	462	186
712	462	186
713	463	185
714	463	184
715	464	184
716	464	183
717	465	182
718	465	181
